name,label,district_key,district,attribute_1,attribute_2,latitude,longitude,source_file,id
pt_00001,Chikwawa - permanent wetlands,chikwawa,Chikwawa,permanent wetlands,severity=0,-15.964100058063089,34.7768097317908,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00001
pt_00002,Chikwawa - borehole,chikwawa,Chikwawa,borehole,severity=0,-15.96269198200102,34.7757514595391,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00002
pt_00003,Chikwawa - seasonal wetland,chikwawa,Chikwawa,seasonal wetland,severity=0,-15.965844600872764,34.77065213365186,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00003
pt_00004,Chikwawa - seasonal stream,chikwawa,Chikwawa,seasonal stream,severity=0,-15.9612227702365,34.77505924819821,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00004
pt_00006,Chikwawa - river,chikwawa,Chikwawa,river,severity=0,-15.956775031528617,34.77541962180654,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00006
pt_00007,Chikwawa - sacred forest,chikwawa,Chikwawa,sacred forest,severity=0,-15.958136835774262,34.77254270278559,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00007
pt_00008,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=5,-15.95722573319797,34.769776855679,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00008
pt_00009,Chikwawa,chikwawa,Chikwawa,,severity=0,-15.957070545396514,34.77219478174685,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00009
pt_00010,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.952715920151691,34.76767856446606,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00010
pt_00011,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=5,-15.9560514996922,34.76581815878803,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00011
pt_00012,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=5,-15.95845675417546,34.76261506379328,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00012
pt_00013,Chikwawa - borehole,chikwawa,Chikwawa,borehole,severity=0,-15.95720132866469,34.76391424342525,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00013
pt_00014,Chikwawa - borehole,chikwawa,Chikwawa,borehole,severity=0,-15.957543539668404,34.76703080792336,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00014
pt_00015,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=5,-15.959224040133078,34.76561918753304,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00015
pt_00016,Chikwawa - sacred forest,chikwawa,Chikwawa,sacred forest,severity=0,-15.959160731097397,34.7692559127568,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00016
pt_00017,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=5,-15.95892216114052,34.770221925533,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00017
pt_00018,Chikwawa - borehole,chikwawa,Chikwawa,borehole,severity=0,-15.9582612050305,34.77051133826761,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00018
