name,label,district_key,district,attribute_1,attribute_2,latitude,longitude,source_file,id
pt_01412,Mumbwa - gulley,mumbwa,Mumbwa,gulley,severity=5,-15.132637454125918,27.392479000089693,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01412
pt_01413,Mumbwa - flood,mumbwa,Mumbwa,flood,severity=5,-15.130865914728554,27.39247635862937,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01413
pt_01414,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.130559945573193,27.391235147424478,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01414
pt_01415,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.13055306677025,27.387864533977396,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01415
pt_01416,Mumbwa - flood,mumbwa,Mumbwa,flood,severity=5,-15.130573703179111,27.386598834233997,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01416
pt_01417,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.130429248317093,27.38269167415655,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01417
pt_01418,Mumbwa - flood,mumbwa,Mumbwa,flood,severity=5,-15.129646440541016,27.380536957919468,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01418
pt_01419,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.130751451447434,27.37664960879454,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01419
pt_01420,Mumbwa - flood,mumbwa,Mumbwa,flood,severity=5,-15.1304564883768,27.375659061169273,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01420
pt_01421,Mumbwa - borehole,mumbwa,Mumbwa,borehole,severity=2,-15.134414276444,27.368474289060664,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01421
pt_01422,Mumbwa - gulley,mumbwa,Mumbwa,gulley,severity=5,-15.133529387232096,27.366347913491758,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01422
pt_01423,Mumbwa - gulley,mumbwa,Mumbwa,gulley,severity=5,-15.132635693152409,27.365854840896066,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01423
pt_01424,Mumbwa - ,mumbwa,Mumbwa,,severity=0,-15.14784169980878,27.369755397322702,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01424
pt_01425,Mumbwa - permanent wetlands,mumbwa,Mumbwa,permanent wetlands,severity=0,-15.147590761077046,27.370261677220064,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01425
pt_01426,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.14687689610356,27.369338197923582,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01426
pt_01427,Mumbwa - gulley,mumbwa,Mumbwa,gulley,severity=5,-15.145917836198814,27.37160001712265,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01427
pt_01428,Mumbwa - borehole,mumbwa,Mumbwa,borehole,severity=2,-15.148300257322775,27.37702469616202,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01428
pt_01429,Mumbwa - borehole,mumbwa,Mumbwa,borehole,severity=1,-15.14660819286321,27.374278898144798,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01429
pt_01430,Mumbwa - sacred forest,mumbwa,Mumbwa,sacred forest,severity=0,-15.145891421595486,27.378604289441803,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01430
pt_01431,Mumbwa - flood,mumbwa,Mumbwa,flood,severity=5,-15.146485750170651,27.389755654485413,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01431
pt_01432,Mumbwa - grazery pasture,mumbwa,Mumbwa,grazery pasture,severity=0,-15.145997080008852,27.388963216385196,Zambia/CFU_Central_Nangoma_Older_Women.shp,pt_01432
